episode,agent,opponent,goals_scored,goals_conceded,result
380,base2,base,2,3,lose
381,base,base2,2,3,lose
381,base2,base,3,2,win
382,base,base2,2,3,lose
382,base2,base,3,2,win
383,base,base2,2,3,lose
383,base2,base,3,2,win
384,base,base2,3,2,win
384,base2,base,3,2,win
385,base,base2,2,3,lose
385,base2,base,3,2,win
386,base,base2,3,2,win
386,base2,base,3,2,win
387,base,base2,2,3,lose
387,base2,base,2,3,lose
388,base,base2,2,3,lose
388,base2,base,2,3,lose
389,base,base2,3,2,win
389,base2,base,2,3,lose
390,base,base2,3,2,win
390,base2,base,3,2,win
391,base,base2,2,3,lose
391,base2,base,3,2,win
392,base,base2,3,2,win
392,base2,base,2,3,lose
393,base,base2,2,3,lose
393,base2,base,3,2,win
394,base,base2,3,2,win
394,base2,base,2,3,lose
395,base,base2,2,3,lose
395,base2,base,3,2,win
396,base,base2,3,2,win
396,base2,base,3,2,win
397,base,base2,2,3,lose
397,base2,base,2,3,lose
398,base,base2,3,2,win
398,base2,base,2,3,lose
399,base,base2,2,3,lose
399,base2,base,3,2,win
400,base,base2,2,3,lose
400,base2,base,3,2,win
401,base,base2,2,3,lose
401,base2,base,3,2,win
402,base,base2,2,3,lose
402,base2,base,3,2,win
403,base,base2,2,3,lose
403,base2,base,3,2,win
404,base,base2,2,3,lose
404,base2,base,3,2,win
405,base,base2,3,2,win
405,base2,base,3,2,win
406,base,base2,3,2,win
406,base2,base,3,2,win
407,base,base2,3,2,win
407,base2,base,2,3,lose
408,base,base2,2,3,lose
408,base2,base,2,3,lose
409,base,base2,2,3,lose
409,base2,base,2,3,lose
410,base,base2,2,3,lose
410,base2,base,2,3,lose
411,base,base2,2,3,lose
411,base2,base,3,2,win
412,base,base2,3,2,win
412,base2,base,2,3,lose
413,base,base2,3,2,win
413,base2,base,3,2,win
414,base,base2,2,3,lose
414,base2,base,2,3,lose
415,base,base2,2,3,lose
415,base2,base,3,2,win
416,base,base2,2,3,lose
416,base2,base,2,3,lose
417,base,base2,2,3,lose
417,base2,base,3,2,win
418,base,base2,3,2,win
418,base2,base,2,3,lose
419,base,base2,2,3,lose
419,base2,base,2,3,lose
420,base,base2,3,2,win
420,base2,base,3,2,win
421,base,base2,2,3,lose
421,base2,base,2,3,lose
422,base,base2,2,3,lose
422,base2,base,2,3,lose
423,base,base2,3,2,win
423,base2,base,3,2,win
424,base,base2,3,2,win
424,base2,base,2,3,lose
425,base,base2,2,3,lose
