episode,agent,opponent,goals_scored,goals_conceded,result
353,no_limit,base,3,2,win
354,base,no_limit,3,2,win
354,no_limit,base,3,2,win
355,base,no_limit,2,3,lose
355,no_limit,base,2,3,lose
356,base,no_limit,2,3,lose
356,no_limit,base,2,3,lose
357,base,no_limit,2,3,lose
357,no_limit,base,3,2,win
358,base,no_limit,3,2,win
358,no_limit,base,3,2,win
359,base,no_limit,2,3,lose
359,no_limit,base,2,3,lose
360,base,no_limit,3,2,win
360,no_limit,base,2,3,lose
361,base,no_limit,3,2,win
361,no_limit,base,2,3,lose
362,base,no_limit,3,2,win
362,no_limit,base,3,2,win
363,base,no_limit,2,3,lose
363,no_limit,base,3,2,win
364,base,no_limit,2,3,lose
364,no_limit,base,3,2,win
365,base,no_limit,3,2,win
365,no_limit,base,3,2,win
366,base,no_limit,3,2,win
366,no_limit,base,3,2,win
367,base,no_limit,3,2,win
367,no_limit,base,2,3,lose
368,base,no_limit,3,2,win
368,no_limit,base,2,3,lose
369,base,no_limit,3,2,win
369,no_limit,base,3,2,win
370,base,no_limit,2,3,lose
370,no_limit,base,2,3,lose
371,base,no_limit,3,2,win
371,no_limit,base,2,3,lose
372,base,no_limit,3,2,win
372,no_limit,base,3,2,win
373,base,no_limit,3,2,win
373,no_limit,base,2,3,lose
374,base,no_limit,3,2,win
374,no_limit,base,2,3,lose
375,base,no_limit,3,2,win
375,no_limit,base,2,3,lose
376,base,no_limit,2,3,lose
376,no_limit,base,2,3,lose
377,base,no_limit,2,3,lose
377,no_limit,base,3,2,win
378,base,no_limit,2,3,lose
378,no_limit,base,2,3,lose
379,base,no_limit,3,2,win
379,no_limit,base,3,2,win
380,base,no_limit,2,3,lose
380,no_limit,base,2,3,lose
381,base,no_limit,2,3,lose
381,no_limit,base,2,3,lose
382,base,no_limit,3,2,win
382,no_limit,base,2,3,lose
383,base,no_limit,3,2,win
383,no_limit,base,3,2,win
384,base,no_limit,3,2,win
384,no_limit,base,2,3,lose
385,base,no_limit,3,2,win
385,no_limit,base,2,3,lose
386,base,no_limit,3,2,win
386,no_limit,base,2,3,lose
387,base,no_limit,3,2,win
387,no_limit,base,3,2,win
388,base,no_limit,2,3,lose
388,no_limit,base,2,3,lose
389,base,no_limit,3,2,win
389,no_limit,base,3,2,win
390,base,no_limit,3,2,win
390,no_limit,base,2,3,lose
391,base,no_limit,3,2,win
391,no_limit,base,3,2,win
392,base,no_limit,2,3,lose
392,no_limit,base,2,3,lose
393,base,no_limit,3,2,win
393,no_limit,base,3,2,win
394,base,no_limit,3,2,win
394,no_limit,base,2,3,lose
395,base,no_limit,2,3,lose
395,no_limit,base,2,3,lose
396,base,no_limit,3,2,win
396,no_limit,base,3,2,win
397,base,no_limit,3,2,win
397,no_limit,base,3,2,win
398,base,no_limit,3,2,win
398,no_limit,base,2,3,lose
399,base,no_limit,2,3,lose
399,no_limit,base,3,2,win
400,base,no_limit,2,3,lose
400,no_limit,base,3,2,win
401,base,no_limit,2,3,lose
401,no_limit,base,2,3,lose
402,base,no_limit,2,3,lose
402,no_limit,base,2,3,lose
403,base,no_limit,2,3,lose
403,no_limit,base,2,3,lose
404,base,no_limit,3,2,win
404,no_limit,base,3,2,win
405,base,no_limit,2,3,lose
405,no_limit,base,2,3,lose
406,base,no_limit,2,3,lose
406,no_limit,base,3,2,win
407,base,no_limit,2,3,lose
407,no_limit,base,3,2,win
408,base,no_limit,3,2,win
408,no_limit,base,2,3,lose
409,base,no_limit,3,2,win
409,no_limit,base,3,2,win
410,base,no_limit,3,2,win
410,no_limit,base,3,2,win
411,base,no_limit,2,3,lose
411,no_limit,base,2,3,lose
412,base,no_limit,2,3,lose
412,no_limit,base,2,3,lose
413,base,no_limit,3,2,win
413,no_limit,base,2,3,lose
414,base,no_limit,3,2,win
414,no_limit,base,3,2,win
415,base,no_limit,3,2,win
415,no_limit,base,2,3,lose
416,base,no_limit,3,2,win
416,no_limit,base,2,3,lose
417,base,no_limit,3,2,win
417,no_limit,base,2,3,lose
418,base,no_limit,2,3,lose
418,no_limit,base,3,2,win
419,base,no_limit,2,3,lose
419,no_limit,base,2,3,lose
420,base,no_limit,3,2,win
420,no_limit,base,2,3,lose
421,base,no_limit,3,2,win
421,no_limit,base,2,3,lose
422,base,no_limit,3,2,win
422,no_limit,base,3,2,win
423,base,no_limit,2,3,lose
423,no_limit,base,2,3,lose
424,base,no_limit,2,3,lose
424,no_limit,base,2,3,lose
425,base,no_limit,2,3,lose
425,no_limit,base,2,3,lose
426,base,no_limit,3,2,win
426,no_limit,base,2,3,lose
427,base,no_limit,3,2,win
427,no_limit,base,2,3,lose
428,base,no_limit,3,2,win
428,no_limit,base,3,2,win
429,base,no_limit,3,2,win
429,no_limit,base,2,3,lose
430,base,no_limit,2,3,lose
430,no_limit,base,3,2,win
431,base,no_limit,2,3,lose
431,no_limit,base,2,3,lose
432,base,no_limit,3,2,win
432,no_limit,base,2,3,lose
433,base,no_limit,3,2,win
433,no_limit,base,2,3,lose
434,base,no_limit,3,2,win
434,no_limit,base,3,2,win
435,base,no_limit,3,2,win
435,no_limit,base,3,2,win
436,base,no_limit,2,3,lose
